Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Accesion number,Call number,Label,Keywords,Abstract,URL,Author Address
Habitat selection,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Social organisation,,,,,,,,,,,,,,
Campus avifauna,,,,,,,,,,,,,,
R. Mondal,2017,"Effect of village relocation on ground birds and small mammals in Sariska Tiger Reserve, Rajasthan, India",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",61,M.Sc.,,,TD-00332,Human disturbance,,,
Grazing pressure,,,,,,,,,,,,,,
Biological extraction,,,,,,,,,,,,,,
Relocation effect on wildlife,,,,,,,,,,,,,,
Habitat loss,,,,,,,,,,,,,,
Degradation,,,,,,,,,,,,,,
Fragmentation,,,,,,,,,,,,,,
Galliformes,,,,,,,,,,,,,,
Ground birds,,,,,,,,,,,,,,
Ground bird density,,,,,,,,,,,,,,
Galliformes abundance,,,,,,,,,,,,,,
Anthropogenic pressure,,,,,,,,,,,,,,
Anthropogenic disturbance,,,,,,,,,,,,,,
Species composition,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Landbirds,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Carnivore,,,,,,,,,,,,,,
Sariska Tiger Reserve,,,,,,,,,,,,,,
Monica,2015,"Influence of extractive disturbances on forest bird communities in Shiwalik landscape, India",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",158+published artice,Ph.D.,,,TD-00361,Community composition,,,
Community ecology,,,,,,,,,,,,,,
Bird community,,,,,,,,,,,,,,
Macroecology,,,,,,,,,,,,,,
Habitat characteristics,,,,,,,,,,,,,,
Forest biomass extraction,,,,,,,,,,,,,,
Human disturbance,,,,,,,,,,,,,,
Anthropogenic pressure,,,,,,,,,,,,,,
Shiwalik hills,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Vegetation composition,,,,,,,,,,,,,,
Guild composition,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Bird density,,,,,,,,,,,,,,
Grazing pressure,,,,,,,,,,,,,,
Firewood extraction,,,,,,,,,,,,,,
Frugivores,,,,,,,,,,,,,,
Bird abundance,,,,,,,,,,,,,,
Granivores,,,,,,,,,,,,,,
Omnivores,,,,,,,,,,,,,,
Lopping pressure,,,,,,,,,,,,,,
Indicator species,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Foraging strategy,,,,,,,,,,,,,,
Moist forest,,,,,,,,,,,,,,
Nectar-insectivores,,,,,,,,,,,,,,
Insectivores,,,,,,,,,,,,,,
Foraging guild density,,,,,,,,,,,,,,
Hill forest,,,,,,,,,,,,,,
T. Motup,2013,Studies on avian diversity of trans-himalayan region of Ladakh,Department of Zoology,Jammu,University of Jammu,,Ph.D.,,,TD-00329,Species diversity,,,
Altitudinal distribution,,,,,,,,,,,,,,
Foraging guilds,,,,,,,,,,,,,,
Feeding guilds,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
D. C. Mudappa,1994,"Nesting habitat of the Malabar Grey Hornbill Ocyceros griseus (Aves: Bucerotidae) - a study in Anaimalai hills, Western Ghats, South India",Salim Ali School of Ecology and Environmental Science,Pondicherry,Pondicherry University,27,M.Sc.,,,TD-00337,Nesting biology,,,
Vegetation composition,,,,,,,,,,,,,,
Nest orientation,,,,,,,,,,,,,,
Cavity dwellers,,,,,,,,,,,,,,
Nest-site characteristics,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Evergreen forests,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
A. Mukherjee,1999,Ecological study on the Sarus Crane Grus antigone in the Central Gujarat,Saurashtra University,Rajkot,"Saurashtra University, Rajkot",283,Ph.D.,,,TD-00367,Bird ecology,,,
Grus antigone,,,,,,,,,,,,,,
Central Gujarat,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Species management,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Breeding ecology,,,,,,,,,,,,,,
Crop damage,,,,,,,,,,,,,,
Crop fields,,,,,,,,,,,,,,
Species conservation,,,,,,,,,,,,,,
Population studies,,,,,,,,,,,,,,
Feeding biology,,,,,,,,,,,,,,
Paddy fields,,,,,,,,,,,,,,
Human disturbance,,,,,,,,,,,,,,
Anthropogenic pressure,,,,,,,,,,,,,,
Public participation,,,,,,,,,,,,,,
T. Mundkur,1991,Nesting and feeding ecology of aquatic birds in Saurashtra and Gulf of Kachchh,,,"Saurashtra University, Rajkot",,Ph.D.,,,TD-00276,Waterbirds,,,
Wetland birds,,,,,,,,,,,,,,
Waterfowl,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Winter migrant,,,,,,,,,,,,,,
Habitat quality,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
S. B. Munjpara,2013,"Ecology of the Indian Courser Cursorius coromandelicus in Abdasa, Kutch, India",Department of Zoology,,"Maharaja Krishnakumarsinhji Bhavnagar University, Bhavnagar",,Ph.D.,,,TD-00125,Coursers,,,
Cursorius coromandelicus,,,,,,,,,,,,,,
Glareolidae,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
Foraging maneuver,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
K. S. Muralidhar,1990,Studies on bird fauna and their probable role in the forest ecosystem of Western Ghats,Department of Zoology,Dharwad,Karnatak University,261,Ph.D.,,,TD-00404,Foraging behaviour,,,
Bird survey,,,,,,,,,,,,,,
Habitat suitability,,,,,,,,,,,,,,
Resource utilization,,,,,,,,,,,,,,
Population status,,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Teak plantation,,,,,,,,,,,,,,
Community dynamics,,,,,,,,,,,,,,
Species-habitat interactions,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Species density,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Habitat heterogeneity,,,,,,,,,,,,,,
Habitat diversity,,,,,,,,,,,,,,
Forest edges,,,,,,,,,,,,,,
Deforestation,,,,,,,,,,,,,,
Habitat degradation,,,,,,,,,,,,,,
S. Muralidharan,1995,"Heavy metal contamination in and around the aquatic environs of Keoladeo National Park, Bharatpur",,,"University of Rajasthan, Jaipur",,Ph.D.,,,TD-00290,Waterbirds,,,
Wetland birds,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Toxicology,,,,,,,,,,,,,,
Heavy metal contamination,,,,,,,,,,,,,,
Bio-accumulation,,,,,,,,,,,,,,
Bio-magnification,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Water quality,,,,,,,,,,,,,,
S. Muthukumar,2003,"Studies on Barn Owls (Tyto alba stertens Hartert, 1929) with special reference to its population, feeding, breeding and prey delivery pattern in Chennai, Tamil Nadu.",,,"Bharathidasan University, Thiruchirappalli",,Ph.D.,,,TD-00302,Barn owls,,,
Tyto alba,,,,,,,,,,,,,,
Tytonidae,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Population density,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Population structure,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Rodents,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Prey-trap,,,,,,,,,,,,,,
Prey delivery pattern,,,,,,,,,,,,,,
R. Nagarajan,1998,"Nest characteristics productivity and nestling growth pattern of the Barn Owl, Tyto alba stertens Hartert 1929 in an agro-environment of Tamil nadu, Southern India",Department of Zoology,,"Bharathidasan University, Tiruchirappalli",,Ph.D.,,,TD-00221,Barn owls,,,
Tytonidae,,,,,,,,,,,,,,
Tyto alba,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Nest characteristics,,,,,,,,,,,,,,
Nest site selection,,,,,,,,,,,,,,
Nestling growth pattern,,,,,,,,,,,,,,
Parental care,,,,,,,,,,,,,,
V. Nagulu,1994,Feeding and breeding biology of Grey Pelican at Nelapattu Bird sanctuary in Andhra Pradesh,,,"Osmania University, Hyderabad",,Ph.D.,,,TD-00075,Pelicans,,,
Pelecanus philippensis,,,,,,,,,,,,,,
Pelecanidae,,,,,,,,,,,,,,
Coromandel Plains,,,,,,,,,,,,,,
Dry evergreen forests,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Monogamous species,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Nest characteristics,,,,,,,,,,,,,,
Nestlings,,,,,,,,,,,,,,
K. L. Naik,2008,Studies on the ecology of weaver birds in some parts of Western Ghats of Karnataka,Department of Zoology,,"Kuvempu University, Shankaraghatta",,Ph.D.,,,TD-00149,Ploceus philippinus,,,
Ploceidae,,,,,,,,,,,,,,
Weavers,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Crop fields,,,,,,,,,,,,,,
Rural ecosystem,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Habitat occupancy,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Habitat degradation,,,,,,,,,,,,,,
Foraging maneuver,,,,,,,,,,,,,,
Predation,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Nest characteristics,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Habitat loss,,,,,,,,,,,,,,
S. Nalavade,2014,Conservation and sustainable management of avifaunal diversity in northern Western Ghats India,Department of Geography,,"Tilak Maharashtra Vidyapeeth, Pune",,Ph.D.,,,TD-00063,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Western Ghats (north),,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Evergreen forest,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Bird density,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Population density,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Conservation strategy,,,,,,,,,,,,,,
Eco-spots,,,,,,,,,,,,,,
S. B. Nalavade,1981,The geographical analysis of the distribution of avifauna in and around Poona,,,"Savitribai Phule Pune University, Pune",,M.Sc.,,,TD-00240,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Wetland birds,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Plantation forests,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Avian biogeography,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Geographical range,,,,,,,,,,,,,,
Geographical distribution,,,,,,,,,,,,,,
Habitat Use,,,,,,,,,,,,,,
Avian biogeography,,,,,,,,,,,,,,
N. C. Nandi,1978,Blood parasites of Indian avifauna,,,"University of Calcutta, Kolkata",,,,,TD-00235,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Waterfowl,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Bird parasites,,,,,,,,,,,,,,
Parasitology,,,,,,,,,,,,,,
Arboviruses,,,,,,,,,,,,,,
Ticks,,,,,,,,,,,,,,
Disease transmission,,,,,,,,,,,,,,
Arthropod vectors,,,,,,,,,,,,,,
G. Naranthiran,1989,"Ecology of Southern Spotted Owlet, Athene brama brama (Temminck) in Thanjavur district, Tamil Nadu with special reference to its food habit and ecotoxicity",,,"Bharathidasan University, Tiruchirappalli.",,M.Phil.,,,TD-00268,Owls,,,
Strigidae,,,,,,,,,,,,,,
Athene brama,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Cavity nesting,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Rodent pests,,,,,,,,,,,,,,
Biological control,,,,,,,,,,,,,,
Ecotoxicity,,,,,,,,,,,,,,
Rodenticides,,,,,,,,,,,,,,
G. Narayan,1992,"Ecology, distribution and conservation of the Bengal Florican Houbaropsis bengalensis (Gmelin)",,,"University of Bombay, Bombay",,Ph.D.,,,TD-00070,Bustards,,,
Houbaropsis bengalensis,,,,,,,,,,,,,,
Otididae,,,,,,,,,,,,,,
North-eastern Hills,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Vegetation composition,,,,,,,,,,,,,,
Morphology,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Courtship behaviour,,,,,,,,,,,,,,
S. P. Narayanan,2004,"Status and ecology of the breeding wetland birds in the KTDC tourist complex, Kumarakom, Kerala",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Mahatma Gandhi University, Kottayam",,M.Sc.,,,TD-00033,Wetland birds,,,
Western Ghats (South),,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Bird population,,,,,,,,,,,,,,
Water quality parameters,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Breeding biology,,,narayanankc@gmail.com,,,,,,,,,,,
V. Natarajan,1990,"The ecology of the Southern Crow-pheasant Centropus sinensis parroti Stresemann (Aves: Cuculidae) at Point Calimere, Tamil Nadu",,,"University of Bombay, Bombay",,Ph.D.,,,TD-00064,Coucals,,,
Cuculidae,,,,,,,,,,,,,,
Centropus sinensis,,,,,,,,,,,,,,
Coromandel Plains  ,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Woodlands,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Biometrics,,,,,,,,,,,,,,
Avian vocalization,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Predation,,,,,,,,,,,,,,
P. Neelanarayanan,1997,"Predatory pressure of Barn Owl (Tyto alba stertens Hartert, 1929) on rodent pests - a field evaluation",,,"Bharathidasan University, Tiruchirappalli",,Ph.D.,,,TD-00229,Barn owls,,,
Tytonidae,,,,,,,,,,,,,,
Tyto alba,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Crop fields,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Rodent pests,,,,,,,,,,,,,,
Biological control,,,,,,,,,,,,,,
Bioagents,,,,,,,,,,,,,,
Economic ornithology,,,,,,,,,,,,,,
Predation,,,,,,,,,,,,,,
Prey selection,,,,,,,,,,,,,,
S. Negi,2014,"Habitat and breeding ecology of Indian Black Francolin (Francolinus francolinus asiae, Bonaparte 1856) in Garhwal Himalaya",S.R.T. Campus Badshahi Thaul,Tehri Garhwal,H.N.B. Garhwal University,118,Ph.D,,,TD-00362,Breeding ecology,,,
Francolinus francolinus asiae,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Galliformes,,,,,,,,,,,,,,
Landbirds,,,,,,,,,,,,,,
Garhwal Himalaya,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Species ecology,,,,,,,,,,,,,,
Nesting behaviour,,,,,,,,,,,,,,
Nest-site characteristics,,,,,,,,,,,,,,
Nest-site selection,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Foraging strategy,,,,,,,,,,,,,,
Foraging substratum,,,,,,,,,,,,,,
Habitat conservation,,,,,,,,,,,,,,
Illegal hunting,,,,,,,,,,,,,,
S. Nemana,2013,"Avifaunal diversity in Acacia auriculiformis plantations near Peppara Wildlife Sanctuary, Agasthyamalai Biosphere Reserve, Kerala",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Guru Gobindsingh Indraprastha University, New Delhi",,M.Sc.,,,TD-00043,Landbirds,,,
Western Ghats (South),,,,,,,,,,,,,,
Plantation forests,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Landscape ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Exclusive species,,,,,,,,,,,,,,
Foraging guilds,,,,,,,,,,,,,,
S. D. Ngangbam,2015,"Reproductive physiology in Japanese Quail, Coturnix coturnix japonica (Class: Aves)",School of Life Science,,"Manipur University, Imphal",,Ph.D.,,,TD-00094,Galliformes,,,
Coturnix japonica,,,,,,,,,,,,,,
Phasianidae,,,,,,,,,,,,,,
North-eastern Hills,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Avian physiology & anatomy,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Photoperiod,,,,,,,,,,,,,,
Reproductive success,,,,,,,,,,,,,,
Diet compostion,,,,,,,,,,,,,,
K. N. Nikam,2013,"Studies on the hydrobiology & monitoring avifauna of Jaangamhatti Dam of Chandgad Tahasil dist. Kolhapur, Maharashtra",Department of Zoology,,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",,Ph.D.,,,TD-00097,Landbirds ,,,
Waterbirds,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Dam,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
Limnology,,,,,,,,,,,,,,
Water pollution,,,,,,,,,,,,,,
Migrants,,,,,,,,,,,,,,
Impact assessment,,,,,,,,,,,,,,
D. Nirmala,2004,Non-breeding ecology of the Pied Bushchat Saxicola caprata,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Phil.,,,TD-00030,Thrushes,,,
Saxicola caprata,,,,,,,,,,,,,,
Muscicapidae,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Feather moulting,,,,,,,,,,,,,,
Bird feathers,,,,,,,,,,,,,,
R. Nirmala Devi,1994,"Studies on the ecology of waders at Pichavaram, Tamil Nadu, south India during January to March 1994",A V C College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,M.Sc.,,,TD-00288,Waders,,,
Coastal birds,,,,,,,,,,,,,,
Coromandel Coast,,,,,,,,,,,,,,
Mangrove ecosystem,,,,,,,,,,,,,,
Coastal forests,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat matrix,,,,,,,,,,,,,,
Bird density,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Mudflats,,,,,,,,,,,,,,
T. Nirmala,2002,"Ecology of bird communties in the Anaikatty hills, Coimbatore",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00007,Landbirds,,,
Western Ghats (Central),,,,,,,,,,,,,,
Dry deciduious forests,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Landscape ecology,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
Vegetation ,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Niche overlap,,,,,,,,,,,,,,
Foraging behaviour,,,sisternirmala@gmail.com,,,,,,,,,,,
K. D. Novel,2016,Ecobiology of some species of Columbiformes from Jammu,Department of Zoology,Jammu,University of Jammu,976,Ph.D.,,,TD-00381,Indian Blue Rock Pigeon,,,
Columba livia,,,,,,,,,,,,,,
Indian Ring Necked Dove,,,,,,,,,,,,,,
Streptopelia decaocto,,,,,,,,,,,,,,
Little Brown Dove,,,,,,,,,,,,,,
Streptopelia senegalensis,,,,,,,,,,,,,,
Indian Spotted Dove,,,,,,,,,,,,,,
Streptopelia chinensis,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Food habits,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Life history strategies,,,,,,,,,,,,,,
Food provisioning,,,,,,,,,,,,,,
M. Oommen,2010,Studies on some aspects of the biology and ecology of the White-breasted Kingfisher Halcyon smyrnensis fusca (Boddaert)(Aves:alcedinidae),,,"Mahatma Gandhi University, Kottayam",,Ph.D.,,,TD-00202,Kingfishers,,,
Halcyon smyrnensis,,,,,,,,,,,,,,
Alcedinidae,,,,,,,,,,,,,,
Malabar Plains,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Species co-occurrence,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Pair formation,,,,,,,,,,,,,,
Gonadal cycle,,,,,,,,,,,,,,
Feather moulting,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Thyroid glands,,,,,,,,,,,,,,
Endocrinology,,,,,,,,,,,,,,
Ecophysiology,,,,,,,,,,,,,,
A. Pai,1993,"Avian communities in the riparian areas of Bori Wildlife Sanctuary, India",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",,M.Sc.,,,TD-00272,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
River bank,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Habitat ecology ,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Riparian vegetation,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Activity pattern,,,,,,,,,,,,,,
Seasonal changes,,,,,,,,,,,,,,
Anthropogenic disturbance,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
M. Pal,2013,Diversity of avian assemblages in Kolkata and adjacent suburban areas,Department of Zoology,Kalyani,University of Kalyani,221,Ph.D.,,,TD-00386,Species diversity,,,
Urban ecology,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Species inventory,,,,,,,,,,,,,,
Species composition,,,,,,,,,,,,,,
Habitat classification,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Species-habitat interactions,,,,,,,,,,,,,,
Species assemblages,,,,,,,,,,,,,,
S. Pandey,2009,"Biodiversity of benthic macroinvertebrates and their trophic relationship with shore birds and fishes of Yeshwant Sagar reservoir, Indore",Department of Zoology,,"Devi Ahilya Vishwavidyalaya, Indore",,Ph.D.,,,TD-00142,Shorebirds,,,
Waterbirds,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Dam,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Prey availability,,,,,,,,,,,,,,
Benthic fauna,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Prey selection,,,,,,,,,,,,,,
J. Pandiyan,1999,"Studies on the waterbird use of unprotected mudflats of Nagappattinam coast, Tamil Nadu, south India",AVC College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,M.Phil.,,,TD-00230,Waterbirds,,,
Shorebirds,,,,,,,,,,,,,,
Coromandel Coast,,,,,,,,,,,,,,
Coastal wetlands,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Mudflats,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Habitat quality,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Population density,,,,,,,,,,,,,,
S. Panshikar,2009,Avian immunomodulation: Role of melatonin and expression of melatonin receptor in spleen,Department of Zoology,,"Banaras Hindu Unversity, Varanasi",,Ph.D.,,,TD-00145,Landbirds,,,
Lower Gangetic Plains,,,,,,,,,,,,,,
Forests ,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Melatonin,,,,,,,,,,,,,,
Immunomodulation,,,,,,,,,,,,,,
Immune responses,,,,,,,,,,,,,,
Genetic expressions,,,,,,,,,,,,,,
